sample_id,article_count,ticker,target_date,label,sentiment_score,car_0_0,car_0_1,car_0_3
65b547ac41dc46c6_00,1,HAG,2022-10-28,neutral,0.0,-2.565038429736278,-8.045524853919858,-4.712343091193887
98d32a5cc65418cd_00,1,HAG,2022-10-31,neutral,0.0,-5.480486424183579,-5.422494135555257,-4.3759856561710215
3443eab37aa7a1f1_01,1,HBC,2022-10-28,neutral,0.0,0.08340891937141866,-6.2500162072606,-1.6934667988707632
23296b2f311c5e2c_00,1,HCM,2022-10-04,neutral,0.0,-5.7703092173794,-5.428097325046716,-9.648818480824346
446a208de176eedb_01,1,HCM,2022-10-06,neutral,0.0,-2.858982573442833,-4.220721155777632,-3.1977336623573573
d7d25ba6cb14279c_00,1,HCM,2022-10-21,positive,1.0,-1.2858917600773898,-3.0612541576144903,-2.8429784457604717
e99f6689e2c48756_00,1,HCM,2022-10-25,neutral,0.0,1.4642138956243698,0.21827571185401862,2.521378552344556
4295a2def0cb7e9e_00,1,HCM,2022-10-31,neutral,0.0,6.287179794971292,6.492153273945229,9.786018310052569
df981867521294e5_00,1,HDB,2022-10-06,neutral,0.0,1.063913914239847,1.0150727742149221,-3.517335815002357
d74a2ca5b3a5864e_00,1,HDC,2022-10-26,neutral,0.0,-5.776766802531071,-4.797294523357022,-3.6432792389252784
2cfc5d65a9eca91d_00,1,HPG,2022-10-05,neutral,0.0,-0.5221070829012358,-3.885869598979193,1.6760464454742512
bb09795ff00f202e_00,1,HPG,2022-10-06,neutral,0.0,-3.363762516077957,-1.5455985151574358,1.3479427094650767
a40a207ddee08df1_00,4,HPG,2022-10-24,neutral,0.0,0.7229886060760884,3.860759770792065,2.9301901880990386
861dea9a130dc608_00,1,HPG,2022-10-26,neutral,0.0,-0.4631010744180738,-0.9305695826930264,-11.172409333559758
a96346ccf4edd45c_00,1,HSG,2022-10-31,neutral,0.0,-7.146069543647824,-5.6484498743545295,-1.3253442632941814
7a41b5c9b9d23b3f_01,1,ICT,2022-10-17,neutral,0.0,2.102850199057409,0.6459985676216671,-1.5137449836229915
57cb249105aeaf01_00,2,ITA,2022-10-03,neutral,0.0,-0.3674053251693863,-5.4717098480727335,-4.033475525460391
6f035ce706692975_00,3,ITA,2022-10-07,neutral,0.0,-1.007870209599779,-1.3892998260228886,-2.5111504203863175
cd8bf9ca9ee2e744_00,2,ITA,2022-10-10,neutral,0.0,-0.3814296164231096,-1.6001432647147373,-1.808868371085964
991a3caa2223cb9c_00,1,ITA,2022-10-13,neutral,0.0,-0.3055881602994255,1.8205880005129567,5.726540916325467
259e0c0a07c493a9_00,5,ITA,2022-10-17,neutral,0.2,2.0461978977671804,3.90595291581251,3.256291329205491
83b8341984e44a69_00,1,ITA,2022-10-18,neutral,0.0,1.8597550180453295,2.946768525420234,0.3789163365197896
1d82470cd42659c7_00,1,ITA,2022-10-24,neutral,0.0,0.7646454021501032,-1.21690131662794,-2.4900091911091202
9684ae2b3fa1c918_00,1,ITA,2022-10-26,neutral,0.0,-2.5593732471176738,-1.2731078744811803,-3.286946637246773
8e47ef867a1ac9aa_00,2,ITA,2022-10-27,positive,0.5,1.2862653726364934,4.019276644698062,-1.5442617425622491
dec245e96c78cd06_00,2,ITA,2022-10-31,neutral,0.0,-4.746850034827161,-5.563538387260311,-2.900159160359868
7e510d526b866b49_00,1,KBC,2022-10-17,neutral,0.0,0.9962887054799926,2.3357496138672724,1.6793857681111524
0cd31c366d79eda7_00,1,LHG,2022-10-04,neutral,0.0,-2.343065624816333,0.6668618078576376,-2.8535330386963835
1f169782abebdcb0_00,1,LHG,2022-10-19,neutral,0.0,-6.332443751558202,-5.4090397089893605,-8.260556661713622
d53c9b11964be563_01,1,LPB,2022-10-11,neutral,0.0,-2.1166802328507703,0.6993898983917362,3.5925378259303216
9c4d0f671eacd607_01,1,LPB,2022-10-21,neutral,0.0,-1.4368272155721602,-3.6836517211373305,5.4833899275723885
7e5e10af9b83cfe6_01,1,LPB,2022-10-25,neutral,0.0,5.0443946668292705,9.16704164870972,13.057132589012738
525b2f94fa2edcd0_02,1,LPB,2022-10-26,neutral,0.0,4.1226469818804485,5.619866580933543,11.870551287289738
ca94de0c710e7775_00,1,MBS,2022-10-03,neutral,0.0,-1.4984097672150138,0.04221963273297957,1.8271930831337664
ceedec260e0d832f_01,1,MBS,2022-10-06,neutral,0.0,0.3952078209614749,2.3591316814186847,3.6598148129288504
1d614b79f7d4d3a9_00,1,MBS,2022-10-10,positive,1.0,4.353579340007302,1.3006831315101657,-6.955412070662124
9744a90bfa691a74_00,1,MBS,2022-10-21,positive,1.0,-2.0285163150265593,-5.085568607077504,-10.202862806027925
bfc7b463d9d6708c_00,1,MBS,2022-10-24,neutral,0.0,-3.057052292050945,-5.7017378190181125,-6.789916779797452
14a69a2130c0c489_00,1,MBS,2022-10-31,neutral,0.0,2.7510996325720436,3.710876639308466,3.3285407350060265
fe02bc42e5dca66d_01,1,MSH,2022-10-21,neutral,0.0,-0.6656256341792997,4.666744556138028,4.721982199677227
7a41b5c9b9d23b3f_00,1,MWG,2022-10-17,neutral,0.0,-0.5595839025774938,-1.8527639734184287,-2.3918173118780643
1b0cd6d22b3a15aa_00,1,MWG,2022-10-31,neutral,0.0,-3.1938853637726123,-6.900116487324754,-6.552890699976523
babed8c5ca0e0e2d_00,1,NKG,2022-10-31,neutral,0.0,-7.059864214978806,-12.673289590934449,-10.245842631385043
0010ae71f397c89c_00,1,NVL,2022-10-07,neutral,0.0,-0.09081676914018777,-3.8195615648778385,-4.2714248195755555
dea87d77623c1935_00,1,NVL,2022-10-12,neutral,0.0,0.021060753045904823,-1.418202066660723,-2.339272118171402
67847e06b0a5ff1a_00,1,OCB,2022-10-03,negative,-1.0,-1.3967352597157507,-2.134081808811537,-4.924459363865022
9726cce44e71a042_00,2,OCB,2022-10-17,neutral,0.0,2.0294458756965996,1.7810654344751,3.0930619374577457
f2f329a36ffd15bd_01,1,OCB,2022-10-19,neutral,0.0,0.58895748083737,1.3119965029826455,7.254971386352154
42b52515946044fb_00,1,OCB,2022-10-28,neutral,0.0,-1.6744703909243464,-1.5422648975743798,6.952784492942115
96dc1f40976ee1e1_01,2,OCB,2022-10-31,neutral,0.0,0.13220549334996665,6.242634234183604,6.011643411544917
b5de4cb3293fb5c5_00,1,PNJ,2022-10-25,neutral,0.0,-1.4927114143227784,0.5831866910736634,-2.798374477622994
5d2b367e0b2c984a_00,1,POW,2022-10-11,neutral,0.0,-2.4437031333673005,-2.90884021716349,-4.617159997585616
02bd80ee2b412e7f_00,1,POW,2022-10-28,neutral,0.0,-0.4801794980504773,-0.6538948814713923,-1.7636933163096755
70e3a7e965017df4_00,1,POW,2022-10-31,neutral,0.0,-0.17371538342091503,-1.0220142795025517,-1.8944453999484403
7b0719ad0019f328_01,1,PVD,2022-10-17,positive,1.0,8.078816003949457,3.8063558433211258,5.648301525587439
45ee2cd1a41cfbba_00,1,REE,2022-10-10,neutral,0.0,2.052385572451064,6.3166662139136776,-0.6238228800105361
9f258f3850050ae9_00,1,REE,2022-10-17,positive,1.0,4.489601646576217,2.5600150918631446,4.06782805700237
90e22c8eb2b5c529_00,1,REE,2022-10-31,neutral,0.0,-1.4503867802947987,-5.312871704176003,-5.92890146486449
9c4d0f671eacd607_00,2,SAB,2022-10-21,neutral,0.0,2.4002133259558383,-2.6830732324339417,-0.6203158315498858
803e957754372112_00,1,SAB,2022-10-25,negative,-1.0,2.958906896574378,2.062757400884056,0.13295967849850543
f19740ba04311221_00,1,SAB,2022-10-28,neutral,0.0,-1.1238510790794967,-1.7760794826709556,-2.924337321031348
858a3b0a4303bd91_00,1,SHB,2022-10-03,neutral,0.0,1.243149771928926,-0.9885720636252993,-4.915334714297192
d53c9b11964be563_00,1,SHB,2022-10-11,neutral,0.0,-2.057421572190057,0.5728869842540427,6.095732579637588
63a6d47273dda667_00,2,SHB,2022-10-17,neutral,0.0,5.9045839092448595,2.201192849778576,-0.7407740644577734
3a8bee923c43e477_01,1,SHB,2022-10-21,neutral,0.0,-0.38686492549085827,0.8641645529196738,5.441124466638517
6cd1591e6a67c77c_01,1,SHB,2022-10-24,neutral,0.0,1.251029478410532,6.059366373508068,7.445041620507447
525b2f94fa2edcd0_01,1,SHB,2022-10-26,neutral,0.0,-0.23137698137869256,1.3856752469993796,4.132813360660666
99e41addf23d5438_00,1,SHB,2022-10-28,negative,-1.0,-1.2179722262457604,2.747138113661287,2.1729976543035363
30f4ef599340c5f6_00,1,SSI,2022-10-04,neutral,0.0,-2.2312150899909025,-1.1589325185823776,-1.6498425462360826
3696289160cb1e58_00,2,SSI,2022-10-05,positive,0.5,1.072282571408525,-1.6099090615209417,3.2252565812654246
90ad76aec6160a67_00,1,SSI,2022-10-10,neutral,0.0,2.6438840375106047,1.0277432580335737,2.368264914131974
6dba9f209979bde5_00,2,SSI,2022-10-12,neutral,0.0,2.0941250971390293,1.3405216560984003,4.209555292820078
00cdcb85fabb807c_00,1,SSI,2022-10-19,neutral,0.0,-0.22046801588641396,-1.3737995183353053,-4.5461086736153
f4067ac275e4c0bf_00,1,SSI,2022-10-21,negative,-1.0,-1.3478461935303887,-3.1723091552799945,-5.6933979961072065
a0dc68d496d8f697_00,1,SSI,2022-10-24,neutral,0.0,-1.8244629617496058,-3.866761387999,-3.0096863168919876
e008f49abd62ec43_00,1,SSI,2022-10-28,neutral,0.0,0.5575004854148184,3.0193169388118273,5.1960449039494465
e275fc0555fe9e51_00,1,SSI,2022-10-31,neutral,0.0,2.461816453397009,5.648694637876915,5.250976180560156
2810b9f50e6ee55d_00,1,STB,2022-10-11,neutral,0.0,-1.5844289183749574,0.8235864483627502,0.9054655375530005
3a8bee923c43e477_00,1,TCB,2022-10-21,neutral,0.0,-2.6750405651008835,-5.911166285075615,-6.268798523749573
5af925867c5cb61e_00,1,TCB,2022-10-24,positive,1.0,-3.2361257199747318,-4.559544065330893,-1.034751937967159
7e5e10af9b83cfe6_00,1,TCB,2022-10-25,neutral,0.0,-1.3234183453561614,-0.3576322386739572,8.91322374239912
c9acdc31dd5f1e35_00,1,TCB,2022-10-28,neutral,0.0,6.711849960391548,7.487020352962414,10.558281907471581
1c8aa1c0a54de9c8_00,2,TCB,2022-10-31,neutral,0.5,0.7751703925708666,4.374839133583442,6.824009662653693
2f056b2b482254d9_00,1,TGG,2022-10-10,neutral,0.0,0.5733057974816185,-2.14391030999006,-18.389881072757138
a155d645d55045d0_00,1,TNI,2022-10-26,neutral,0.0,-1.1734756187607083,0.14139165422699573,8.402175427970551
9ed923ac23f4593b_00,1,VCB,2022-10-14,neutral,0.0,1.6279187772725066,-0.398635710440447,1.3590809758540041
1b387dbee32c882c_00,1,VCB,2022-10-17,neutral,0.0,-2.0265544877129535,-0.7610376834726109,1.7123624756712759
47689916af0bba6e_00,1,VIC,2022-10-04,neutral,0.0,3.3001399851979096,7.588027872666143,11.453074514543639
173cfe41ef451ed8_00,1,VIC,2022-10-05,neutral,0.0,4.287887887468234,6.003761981151429,8.133433705050512
3cd934e7f963059d_00,1,VIC,2022-10-10,neutral,0.0,-0.019500824295216268,1.575950077569591,0.7592970602432403
f07abe7a8911e7fa_00,1,VIC,2022-10-12,neutral,0.0,-1.0326917415282348,-0.8166530173263506,-7.85560356502321
69072f7be50de6a4_00,1,VIC,2022-10-13,neutral,0.0,0.2160387242018842,-1.1538412373966411,-2.8839435961039963
03c76301d65a04fe_00,1,VIX,2022-10-20,neutral,0.0,-3.514545688136092,-4.265122346290179,-9.656175234526803
c29ad333556ce4d0_00,1,VIX,2022-10-24,positive,1.0,-1.3900321122441373,-5.391052888236625,-8.630101711232752
75749f7fa8a8ef81_00,1,VND,2022-10-03,neutral,0.0,-0.06551316409653651,-4.260891897145676,-3.9201432250931068
811ff35e950af972_00,1,VND,2022-10-04,negative,-1.0,-4.195378733049139,-1.64954345802362,-4.6866365913600205
aec4ff6f8d9c3c1e_00,2,VND,2022-10-07,neutral,0.0,-0.8320065303634498,1.1083408528580279,-2.132673871615434
a431e11a134aa5f2_00,1,VND,2022-10-10,neutral,0.0,1.9403473832214777,0.9533176607682581,-4.0142542302301205
fe6f6f4806cd5ebd_00,1,VND,2022-10-13,neutral,0.0,-2.713586888978136,0.029646531288742395,0.8704367727817682
329ae0103c096ce4_00,1,VND,2022-10-14,neutral,0.0,2.743233420266878,4.5719051321675295,4.018719573348903
6df6d30a56a75af2_00,1,VND,2022-10-17,negative,-1.0,1.8286717119006508,0.8407902414930258,-1.043449126237845
9379baaf85c4a3be_00,2,VND,2022-10-18,neutral,0.0,-0.987881470407625,-0.5531855588186256,-3.447572471838576
b7c4ef2ba79daf11_00,1,VND,2022-10-20,negative,-1.0,-2.31893527931987,-2.89438691301995,-13.061312383136253
7b83f1fe0e1615c6_00,1,VND,2022-10-27,neutral,0.0,0.7895914419662935,4.152459692565533,4.41182470479989
53c8baec97ea4583_00,2,VND,2022-10-31,neutral,0.0,-1.4932279618525477,0.2593650122343565,4.209641697533482
b2868097b7e87c3d_00,1,VNM,2022-10-10,neutral,0.0,0.44646465433683546,2.1951066952550153,4.073338745490727
30f4ef599340c5f6_03,1,VPB,2022-10-04,neutral,0.0,-0.1757578219472007,-2.033992810277901,-3.7791872505745543
ceedec260e0d832f_00,2,VPS,2022-10-06,neutral,0.0,-5.365859169881195,-3.123264524831265,-2.321767029754075
36faf18948ce1fbc_00,1,VPS,2022-10-24,positive,1.0,0.40254989116116063,-4.771591663411151,-5.803628939179494
bbf5359c102ba8e4_00,2,VPS,2022-10-28,neutral,0.0,0.5418904588078481,-0.3382654647069808,-9.787453314245601
101c0444b8e09a4e_00,1,VRE,2022-10-27,neutral,0.0,2.9446968328902487,2.678817685487405,11.985316053207722
f197a255de04d774_00,1,VVS,2022-10-10,neutral,0.0,11.829380658883384,10.946718190392438,-2.9784807603498233
